Temperature,Humidity,WaterTemp
29.8999996185,51.5, 30.5
 29.2000007629 , 49.0999984741 , 30.25
 29.2000007629 , 54.4000015259 , 30.25
 29.5 , 51.2000007629 , 30.562
 29.2999992371 , 50.2000007629 , 30.437
 29.5 , 49.2999992371 , 30.437
 29.7000007629 , 46.7000007629 , 30.312
 29.8999996185 , 42.0999984741 , 30.562
 29.7000007629 , 44.5999984741 , 30.625
32.2999992371 , 49.2999992371 , 26.0
 32.0 , 48.9000015259 , 26.0
 32.5 , 48.7000007629 , 26.062
 32.5999984741 , 49.4000015259 , 26.062
 33.2999992371 , 45.5 , 26.062
 31.7999992371 , 47.4000015259 , 26.125
 32.0999984741 , 48.2000007629 , 26.125
 31.1000003815 , 50.0999984741 , 26.187
 30.8999996185 , 49.7000007629 , 26.187
 30.6000003815 , 51.5999984741 , 26.187
 29.8999996185 , 52.5999984741 , 26.187
 29.5 , 54.7999992371 , 26.125
 29.0 , 55.9000015259 , 26.125
 29.0 , 59.2999992371 , 26.125
 28.8999996185 , 59.2000007629 , 26.062
 28.7999992371 , 60.5999984741 , 26.0
 29.2000007629 , 61.7000007629 , 26.0
 29.0 , 61.0999984741 , 25.937
 29.0 , 58.5999984741 , 25.937
 29.1000003815 , 59.5 , 25.875
 28.7999992371 , 60.0 , 25.875
 28.7999992371 , 59.2999992371 , 25.875
 28.5 , 59.5999984741 , 25.812
 28.2999992371 , 60.0999984741 , 25.75
 28.0 , 61.7000007629 , 25.75
 27.7999992371 , 67.0999984741 , 25.687
 27.7000007629 , 68.5 , 25.687
 27.7000007629 , 69.6999969482 , 25.625
 27.6000003815 , 72.6999969482 , 25.625
 27.5 , 72.4000015259 , 25.562
 27.3999996185 , 74.0999984741 , 25.5
 27.3999996185 , 75.6999969482 , 25.5
 27.5 , 75.0 , 25.437
 27.3999996185 , 77.5 , 25.375
 27.2999992371 , 77.9000015259 , 25.375
 27.2999992371 , 74.8000030518 , 25.375
