carat,clarity,depth,table,price
0.23,SI2,61.5,55,326
0.21,SI1,59.8,61,326
0.23,VS1,56.9,65,327
0.29,VS2,62.4,58,334
0.31,SI2,63.3,58,335
0.24,VVS2,62.8,57,336
0.24,VVS1,62.3,57,336
0.26,SI1,61.9,55,337
0.22,VS2,65.1,61,337
0.23,VS1,59.4,61,338
0.3,SI1,64,55,339
0.23,VS1,62.8,56,340
0.22,SI1,60.4,61,342
0.31,SI2,62.2,54,344
0.2,SI2,60.2,62,345
0.32,I1,60.9,58,345
0.3,SI2,62,54,348
0.3,SI1,63.4,54,351
0.3,SI1,63.8,56,351
0.3,SI1,62.7,59,351
0.3,SI2,63.3,56,351
0.23,VS2,63.8,55,352
0.23,VS1,61,57,353
0.31,SI1,59.4,62,353
0.31,SI1,58.1,62,353
0.23,VVS2,60.4,58,354
0.24,VS1,62.5,57,355
0.3,VS2,62.2,57,357
0.23,VS2,60.5,61,357
0.23,VS1,60.9,57,357
0.23,VS1,60,57,402
0.23,VS1,59.8,57,402
0.23,VS1,60.7,59,402
0.23,VS1,59.5,58,402
0.23,VS1,61.9,58,402
0.23,VS1,58.2,59,402
0.23,VS1,64.1,59,402
0.31,SI1,64,54,402
0.26,VS2,60.8,59,403
0.33,SI2,61.8,55,403
0.33,SI2,61.2,56,403
0.33,SI1,61.1,56,403
0.26,VS2,65.2,56,403
0.26,VS1,58.4,63,403
0.32,SI2,63.1,56,403
0.29,SI1,62.4,58,403
0.32,SI2,61.8,55,403
0.32,SI2,63.8,56,403
0.25,VS2,63.3,60,404
0.29,SI2,60.7,60,404
0.24,SI1,60.9,61,404
0.23,VS1,61.9,54,404
0.32,SI1,60.9,55,404
0.22,VS2,61.6,58,404
0.22,VS2,59.3,62,404
0.3,SI2,61,59,405
0.3,SI2,59.3,61,405
0.3,SI1,62.6,57,405
0.3,SI1,63,57,405
0.3,SI1,63.2,55,405
0.35,VS1,60.9,57,552
0.3,SI1,62.6,59,552
0.3,SI1,62.5,57,552
0.3,SI1,62.1,56,552
0.42,SI2,61.5,59,552
0.28,VVS2,61.4,56,553
0.32,VVS1,62,55.3,553
0.31,SI1,63.3,57,553
0.31,SI1,61.8,58,553
0.24,VVS1,60.7,58,553
0.24,VVS1,61.5,60,553
0.3,SI1,63.1,56,554
0.3,SI1,62.9,59,554
0.3,SI1,62.5,57,554
0.3,SI1,63.7,57,554
0.26,VVS2,59.2,60,554
0.26,VVS2,59.9,58,554
0.26,VVS2,62.4,54,554
0.26,VVS2,62.8,60,554
0.26,VVS1,62.6,59,554
0.26,VVS1,63.4,59,554
0.26,VVS1,62.1,60,554
0.26,VVS2,62.9,58,554
0.38,SI2,61.6,56,554
0.26,VVS1,57.9,60,554
0.24,VVS1,62.3,59,554
0.24,VVS1,61.2,58,554
0.24,VVS1,60.8,59,554
0.24,VVS2,60.7,58,554
0.32,SI1,62.9,58,554
0.7,SI1,62.5,57,2757
0.86,SI2,55.1,69,2757
0.7,VS2,61.6,56,2757
0.71,VS2,62.4,57,2759
0.78,SI2,63.8,56,2759
0.7,VS2,57.5,58,2759
0.7,VS1,59.4,62,2759
0.96,SI2,66.3,62,2759
0.73,SI1,61.6,59,2760
0.8,SI1,61.5,58,2760
0.75,SI1,63.2,56,2760
0.75,SI1,59.9,54,2760
0.74,SI1,61.6,55,2760
0.75,VS2,61.7,58,2760
0.8,VS1,62.9,56,2760
0.75,SI1,62.2,55,2760
0.8,SI1,63,59,2760
0.74,VVS2,62.3,55,2761
0.81,SI2,58.8,57,2761
0.59,VVS2,62,55,2761
0.8,SI2,61.4,57,2761
0.74,SI2,62.2,56,2761
0.9,VS2,63,58,2761
0.74,SI1,62.2,59,2762
0.73,VS2,62.6,56,2762
0.73,VS2,62.7,53,2762
0.8,SI2,61.7,58,2762
0.71,VS2,62.4,54,2762
0.7,VS2,60.7,58,2762
0.8,SI2,59.9,59,2762
0.71,SI2,62.3,56,2762
0.74,SI1,62.3,54,2762
0.7,VS2,61.7,63,2762
0.7,VS2,64.5,57,2762
0.7,VS2,65.3,55,2762
0.7,VS2,61.6,60,2762
0.91,SI1,61.4,56,2763
0.61,VVS2,59.6,57,2763
0.91,SI2,64.4,57,2763
0.91,SI2,65.7,60,2763
0.77,VS2,62,56,2763
0.71,SI1,63.6,58,2764
0.71,SI1,61.9,59,2764
0.7,VS2,62.6,60,2765
0.77,VS1,61.3,60,2765
0.63,VVS1,60.9,60,2765
0.71,VS1,60.1,62,2765
0.71,VS1,61.8,59,2765
0.76,SI1,61.2,57,2765
0.64,VVS1,61.9,56,2766
0.71,VS2,60.9,57,2766
0.71,VS2,59.8,56,2766
0.7,VS2,61.8,55,2767
0.7,VS1,60,57,2767
0.71,SI2,61.6,55,2767
0.7,VVS2,62.1,64,2767
0.71,VS1,63.3,59,2768
0.73,SI1,60.2,56,2768
0.7,SI1,61.1,58,2768
0.7,SI1,60.9,57,2768
0.71,SI2,61.7,59,2768
0.74,SI1,61.3,56,2769
0.71,VS2,62.5,60,2770
0.73,VS2,61.4,59,2770
0.76,SI1,62.9,57,2770
0.76,SI2,62.4,57,2770
0.71,SI1,60.7,56,2770
0.73,VS2,60.7,58,2770
0.73,VS1,61.5,58,2770
0.73,SI2,59.9,57,2770
0.73,VS2,59.2,59,2770
0.72,VVS2,60.3,56,2771
0.73,SI1,61.7,60,2771
0.71,VS2,61.9,57,2771
0.79,SI2,61.9,55,2771
0.73,VVS1,60.4,59,2772
0.8,SI2,61,57,2772
