Make,Model,Engine Size(L),Fuel Type,Fuel Consumption Comb (mpg),CO2 Emissions
ACURA,ILX,2,Z,33,196
ACURA,ILX,2.4,Z,29,221
ACURA,ILX HYBRID,1.5,Z,48,136
ACURA,MDX 4WD,3.5,Z,25,255
ACURA,RDX AWD,3.5,Z,27,244
ACURA,RLX,3.5,Z,28,230
ACURA,TL,3.5,Z,28,232
ACURA,TL AWD,3.7,Z,25,255
ACURA,TL AWD,3.7,Z,24,267
ACURA,TSX,2.4,Z,31,212
ACURA,TSX,2.4,Z,29,225
ACURA,TSX,3.5,Z,27,239
ALFA ROMEO,4C,1.8,Z,34,193
ASTON MARTIN,DB9,5.9,Z,18,359
ASTON MARTIN,RAPIDE,5.9,Z,18,359
ASTON MARTIN,V8 VANTAGE,4.7,Z,19,338
ASTON MARTIN,V8 VANTAGE,4.7,Z,18,354
ASTON MARTIN,V8 VANTAGE S,4.7,Z,19,338
ASTON MARTIN,V8 VANTAGE S,4.7,Z,18,354
ASTON MARTIN,VANQUISH,5.9,Z,18,359
AUDI,A4,2,Z,32,202
AUDI,A4 QUATTRO,2,Z,28,230
AUDI,A4 QUATTRO,2,Z,30,214
AUDI,A5 CABRIOLET QUATTRO,2,Z,28,230
AUDI,A5 QUATTRO,2,Z,28,230
AUDI,A5 QUATTRO,2,Z,30,214
AUDI,A6 QUATTRO,2,Z,28,235
AUDI,A6 QUATTRO,3,Z,26,251
AUDI,A6 QUATTRO TDI (modified),3,D,35,217
AUDI,A7 QUATTRO,3,Z,25,262
AUDI,A7 QUATTRO TDI (modified),3,D,35,217
AUDI,A8,3,Z,25,258
AUDI,A8,4,Z,25,265
AUDI,A8 TDI (modified),3,D,34,224
AUDI,A8L,3,Z,25,258
AUDI,A8L,4,Z,23,288
AUDI,A8L,6.3,Z,18,363
AUDI,A8L TDI (modified),3,D,34,224
AUDI,ALLROAD QUATTRO,2,Z,27,242
AUDI,Q5,2,Z,27,239
AUDI,Q5,3,Z,25,258
AUDI,Q5 TDI (modified),3,D,31,244
AUDI,Q5 HYBRID,2,Z,31,212
AUDI,Q7,3,Z,21,304
AUDI,Q7 TDI (modified),3,D,26,290
AUDI,R8,4.2,Z,19,336
AUDI,R8,4.2,Z,16,407
AUDI,R8,5.2,Z,19,347
AUDI,R8,5.2,Z,16,409
AUDI,R8 SPYDER,4.2,Z,19,336
AUDI,R8 SPYDER,4.2,Z,16,407
AUDI,R8 SPYDER,5.2,Z,19,347
AUDI,R8 SPYDER,5.2,Z,16,409
AUDI,RS 5,4.2,Z,21,306
AUDI,RS 5 CABRIOLET,4.2,Z,21,308
AUDI,RS 7,4,Z,23,293
AUDI,S4,3,Z,25,262
AUDI,S4,3,Z,23,285
AUDI,S5,3,Z,25,262
AUDI,S5,3,Z,23,285
AUDI,S5 CABRIOLET,3,Z,24,267
AUDI,S6,4,Z,23,281
AUDI,S7,4,Z,23,281
AUDI,S8,4,Z,22,300
AUDI,SQ5,3,Z,22,292
AUDI,TT COUPE QUATTRO,2,Z,31,209
AUDI,TT ROADSTER QUATTRO,2,Z,31,209
AUDI,TTS COUPE QUATTRO,2,Z,27,237
AUDI,TTS ROADSTER QUATTRO,2,Z,27,237
BENTLEY,CONTINENTAL GT,4,Z,21,314
BENTLEY,CONTINENTAL GT,6,Z,18,356
BENTLEY,CONTINENTAL GTC,4,Z,20,332
BENTLEY,CONTINENTAL GTC,6,Z,17,380
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,6,Z,17,380
BENTLEY,FLYING SPUR,6,Z,17,388
BENTLEY,MULSANNE,6.8,Z,15,437
BMW,320i,2,Z,34,193
BMW,320i,2,Z,32,200
BMW,320i xDRIVE,2,Z,32,202
BMW,328d xDRIVE,2,D,42,181
BMW,328d xDRIVE TOURING,2,D,42,181
BMW,328i,2,Z,34,193
BMW,328i,2,Z,32,200
BMW,328i xDRIVE,2,Z,31,209
BMW,328i xDRIVE GRAN TURISMO,2,Z,31,209
BMW,328i xDRIVE TOURING,2,Z,31,209
BMW,335i,3,Z,29,221
BMW,335i,3,Z,28,230
BMW,335i xDRIVE,3,Z,29,228
BMW,335i xDRIVE,3,Z,27,237
BMW,335i xDRIVE GRAN TURISMO,3,Z,28,232
BMW,428i COUPE,2,Z,34,193
BMW,428i COUPE,2,Z,32,200
BMW,428i xDRIVE COUPE,2,Z,31,209
BMW,435i COUPE,3,Z,29,221
BMW,435i COUPE,3,Z,28,230
BMW,435i xDRIVE COUPE,3,Z,29,228
BMW,435i xDRIVE COUPE,3,Z,27,237
BMW,528i,2,Z,32,202
BMW,528i xDRIVE,2,Z,31,209
BMW,535d xDRIVE,3,D,36,213
BMW,535i xDRIVE,3,Z,28,232
BMW,535i xDRIVE GRAN TURISMO,3,Z,26,246
BMW,550i xDRIVE,4.4,Z,23,281
BMW,550i xDRIVE GRAN TURISMO,4.4,Z,22,292
BMW,640i xDRIVE GRAN COUPE,3,Z,28,232
BMW,650i xDRIVE CABRIOLET,4.4,Z,22,292
BMW,650i xDRIVE COUPE,4.4,Z,23,281
BMW,650i xDRIVE GRAN COUPE,4.4,Z,22,292
BMW,740Li xDRIVE,3,Z,26,246
BMW,750i xDRIVE,4.4,Z,22,292
BMW,750Li xDRIVE,4.4,Z,22,292
BMW,760Li,6,Z,18,356
BMW,ACTIVEHYBRID 3,3,Z,34,191
BMW,ACTIVEHYBRID 5,3,Z,30,214
BMW,ACTIVEHYBRID 7L,3,Z,31,212
BMW,ALPINA B7 xDRIVE LWB,4.4,Z,22,292
BMW,ALPINA B7 xDRIVE SWB,4.4,Z,22,292
BMW,M5,4.4,Z,19,338
BMW,M5,4.4,Z,20,317
BMW,M6,4.4,Z,19,338
BMW,M6,4.4,Z,20,317
BMW,M6 CABRIOLET,4.4,Z,19,338
BMW,M6 CABRIOLET,4.4,Z,20,317
BMW,M6 GRAN COUPE,4.4,Z,19,338
BMW,M6 GRAN COUPE,4.4,Z,20,317
BMW,X1 xDRIVE28i,2,Z,31,209
BMW,X1 xDRIVE35i,3,Z,25,260
BMW,X3 xDRIVE28i,2,Z,28,230
BMW,X3 xDRIVE35i,3,Z,26,253
BMW,X5 xDRIVE35i,3,Z,25,255
BMW,X5 xDRIVE50i,4.4,Z,20,320
BMW,X6 M,4.4,Z,18,370
BMW,X6 xDRIVE35i,3,Z,24,274
BMW,X6 xDRIVE50i,4.4,Z,20,324
BMW,Z4 sDRIVE28i,2,Z,31,209
BMW,Z4 sDRIVE28i,2,Z,32,200
BMW,Z4 sDRIVE35i,3,Z,23,278
BMW,Z4 sDRIVE35i,3,Z,26,253
BMW,Z4 sDRIVE35is,3,Z,23,278
BUICK,ENCLAVE,3.6,X,23,283
BUICK,ENCLAVE AWD,3.6,X,22,290
BUICK,ENCORE,1.4,X,33,196
BUICK,ENCORE AWD,1.4,X,31,212
BUICK,LACROSSE,3.6,X,25,264
BUICK,LACROSSE,3.6,E,18,250
BUICK,LACROSSE AWD,3.6,X,25,264
BUICK,LACROSSE AWD,3.6,E,17,264
BUICK,LACROSSE eASSIST,2.4,X,34,189
BUICK,REGAL,2,Z,29,228
BUICK,REGAL,2,Z,29,225
BUICK,REGAL AWD,2,Z,26,246
BUICK,REGAL eASSIST,2.4,X,34,189
BUICK,VERANO,2,Z,29,228
BUICK,VERANO,2,Z,29,225
BUICK,VERANO,2.4,X,30,218
CADILLAC,ATS,2,Z,29,221
CADILLAC,ATS,2,Z,28,235
CADILLAC,ATS,2.5,X,31,207
CADILLAC,ATS,3.6,X,26,251
CADILLAC,ATS AWD,2,Z,28,232
CADILLAC,ATS AWD,3.6,X,25,260
CADILLAC,CTS COUPE,3.6,X,25,258
CADILLAC,CTS COUPE AWD,3.6,X,25,262
CADILLAC,CTS SEDAN,2,Z,28,232
CADILLAC,CTS SEDAN,3.6,X,26,248
CADILLAC,CTS SEDAN AWD,2,Z,26,248
CADILLAC,CTS SEDAN AWD,3.6,X,25,260
CADILLAC,CTS SEDAN Vsport,3.6,Z,22,294
CADILLAC,CTS SPORT WAGON,3,X,26,253
CADILLAC,CTS SPORT WAGON,3.6,X,25,260
CADILLAC,CTS SPORT WAGON AWD,3,X,25,255
CADILLAC,CTS SPORT WAGON AWD,3.6,X,25,262
CADILLAC,CTS-V COUPE,6.2,Z,17,382
CADILLAC,CTS-V COUPE,6.2,Z,19,340
CADILLAC,CTS-V SEDAN,6.2,Z,17,382
CADILLAC,CTS-V SEDAN,6.2,Z,19,340
CADILLAC,CTS-V SPORT WAGON,6.2,Z,17,382
CADILLAC,CTS-V SPORT WAGON,6.2,Z,19,340
CADILLAC,ESCALADE AWD,6.2,Z,19,338
CADILLAC,ESCALADE AWD,6.2,E,14,322
CADILLAC,ESCALADE ESV AWD,6.2,Z,17,377
